"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"M&amp;M","EQ","07-Aug-2017","       1418.05","       1390.00","       1430.00","       1384.95","       1401.00","       1400.75","       1409.03","    1493977","          2105063229.30","      46100","     774724","         51.86"
"M&amp;M","EQ","08-Aug-2017","       1400.75","       1400.05","       1416.55","       1390.25","       1399.70","       1400.00","       1400.99","     852827","          1194802525.35","      33833","     486755","         57.08"
"M&amp;M","EQ","09-Aug-2017","       1400.00","       1397.50","       1406.60","       1384.40","       1390.00","       1392.30","       1395.81","     771111","          1076327280.60","      32601","     529597","         68.68"
"M&amp;M","EQ","10-Aug-2017","       1392.30","       1386.00","       1395.80","       1380.00","       1395.00","       1387.05","       1386.52","     816173","          1131639711.90","      35937","     529156","         64.83"
"M&amp;M","EQ","11-Aug-2017","       1387.05","       1380.00","       1386.10","       1340.00","       1350.00","       1348.05","       1359.31","    1126510","          1531275054.95","      37921","     718583","         63.79"
"M&amp;M","EQ","14-Aug-2017","       1348.05","       1354.70","       1370.90","       1347.60","       1356.15","       1355.75","       1357.06","     685342","           930046854.30","      50845","     404763","         59.06"
"M&amp;M","EQ","16-Aug-2017","       1355.75","       1361.90","       1376.45","       1348.35","       1368.00","       1371.20","       1366.59","     744908","          1017986385.25","      43408","     512155","         68.75"
"M&amp;M","EQ","17-Aug-2017","       1371.20","       1372.00","       1374.95","       1358.60","       1366.25","       1367.00","       1368.03","     611537","           836600407.80","      40013","     385840","         63.09"
"M&amp;M","EQ","18-Aug-2017","       1367.00","       1364.00","       1379.50","       1360.65","       1371.00","       1370.00","       1370.83","     678855","           930592793.80","      45903","     470264","         69.27"
"M&amp;M","EQ","21-Aug-2017","       1370.00","       1370.20","       1392.95","       1370.15","       1378.55","       1378.65","       1380.28","     702542","           969703211.30","      42318","     478521","         68.11"
